Tempo(s),X(m),Y(m),Z(m),Roll(rad),Pitch(rad),Yaw(rad),VelX(m/s),VelY(m/s),VelLinear(m/s),VelAngular(rad/s),VelActEsquerda(m/s),VelActDireita(m/s)
0.000,0.0000,0.0000,0.1400,-0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000
0.050,0.0020,0.0000,0.1387,-0.0001,-0.0016,-0.0003,0.0397,0.0002,0.0397,-0.0060,1.0000,1.0000
0.100,0.0068,0.0000,0.1387,-0.0001,-0.0018,-0.0005,0.0962,0.0002,0.0962,-0.0040,1.0000,1.0000
0.150,0.0117,0.0000,0.1387,-0.0001,-0.0018,-0.0006,0.0974,0.0000,0.0974,-0.0016,1.0000,1.0000
0.200,0.0165,0.0000,0.1387,-0.0001,-0.0018,-0.0006,0.0973,-0.0001,0.0973,-0.0004,1.0000,1.0000
0.250,0.0214,0.0000,0.1387,-0.0001,-0.0018,-0.0006,0.0973,-0.0001,0.0973,0.0000,1.0000,1.0000
0.300,0.0263,0.0000,0.1387,-0.0001,-0.0018,-0.0006,0.0973,-0.0001,0.0973,0.0001,1.0000,1.0000
0.350,0.0311,0.0000,0.1387,-0.0001,-0.0018,-0.0006,0.0973,-0.0001,0.0973,0.0001,1.0000,1.0000
0.400,0.0360,-0.0000,0.1387,-0.0001,-0.0018,-0.0006,0.0973,-0.0001,0.0973,0.0000,1.0000,1.0000
0.450,0.0409,-0.0000,0.1387,-0.0001,-0.0018,-0.0006,0.0973,-0.0001,0.0973,0.0000,1.0000,1.0000
0.500,0.0457,-0.0000,0.1387,-0.0001,-0.0018,-0.0006,0.0973,-0.0001,0.0973,-0.0000,1.0000,1.0000
0.550,0.0506,-0.0000,0.1387,-0.0001,-0.0018,-0.0006,0.0973,-0.0001,0.0973,-0.0000,1.0000,1.0000
0.600,0.0555,-0.0000,0.1387,-0.0001,-0.0018,-0.0006,0.0973,-0.0001,0.0973,-0.0000,1.0000,1.0000
0.650,0.0603,-0.0000,0.1387,-0.0001,-0.0018,-0.0006,0.0973,-0.0001,0.0973,-0.0000,1.0000,1.0000
0.700,0.0652,-0.0000,0.1387,-0.0001,-0.0018,-0.0006,0.0973,-0.0001,0.0973,-0.0000,1.0000,1.0000
0.750,0.0701,-0.0000,0.1387,-0.0001,-0.0018,-0.0006,0.0973,-0.0001,0.0973,-0.0001,1.0000,1.0000
0.800,0.0749,-0.0000,0.1387,-0.0001,-0.0018,-0.0006,0.0973,-0.0001,0.0973,-0.0001,1.0000,1.0000
0.850,0.0798,-0.0000,0.1387,-0.0001,-0.0018,-0.0006,0.0973,-0.0001,0.0973,-0.0001,1.0000,1.0000
0.900,0.0847,-0.0000,0.1387,-0.0001,-0.0018,-0.0006,0.0973,-0.0001,0.0973,-0.0001,1.0000,1.0000
0.950,0.0895,-0.0001,0.1387,-0.0001,-0.0018,-0.0006,0.0973,-0.0001,0.0973,-0.0001,1.0000,1.0000
